City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.54,72,10,15.88,TF,1718010873
1,grytviken,-54.2811,-36.5092,-7.11,76,20,4.11,GS,1718010873
2,kidal,18.4411,1.4078,39.57,14,38,5.34,ML,1718010873
3,gadzhiyevo,69.2551,33.3362,10.91,72,80,5.72,RU,1718010873
4,cockburn town,21.4612,-71.1419,27.44,87,100,8.95,TC,1718010873
5,ballina,-28.8667,153.5667,12.1,64,0,6.18,AU,1718010873
6,nadi,-17.8,177.4167,24.0,69,40,3.6,FJ,1718010873
7,kaa-khem,51.6833,94.7333,24.11,38,61,4.52,RU,1718010873
8,adamstown,-25.066,-130.1015,22.24,79,42,6.05,PN,1718010873
9,edinburgh of the seven seas,-37.0676,-12.3116,11.63,66,98,10.83,SH,1718010873
10,boyolangu,-8.1181,111.8935,25.7,89,79,3.93,ID,1718010873
11,basco,20.4487,121.9702,29.14,74,18,4.45,PH,1718010873
12,hami,42.8,93.45,36.4,10,21,7.86,CN,1718010874
13,vorgashor,67.5833,63.95,2.11,96,100,3.38,RU,1718010874
14,bethel,41.3712,-73.414,14.93,84,0,2.6,US,1718010874
15,mocimboa,-11.3167,40.35,27.41,51,44,7.8,MZ,1718010874
16,san angelo,31.4638,-100.437,24.05,81,0,1.54,US,1718010807
17,flagstaff,35.1981,-111.6513,15.81,35,0,0.0,US,1718010874
18,chonchi,-42.6128,-73.8092,9.76,96,100,4.17,CL,1718010874
19,akureyri,65.6835,-18.0878,5.96,81,100,2.06,IS,1718010874
20,isafjordur,66.0755,-23.124,5.02,81,75,1.54,IS,1718010874
21,bilibino,68.0546,166.4372,12.9,44,99,0.38,RU,1718010874
22,albany,42.6001,-73.9662,13.19,87,2,2.44,US,1718010843
23,tazacorte,28.629,-17.9293,22.54,88,20,3.09,ES,1718010874
24,bredasdorp,-34.5322,20.0403,15.89,56,0,2.32,ZA,1718010874
25,ikauna,27.55,81.9667,47.25,6,6,7.01,IN,1718010874
26,waitangi,-43.9535,-176.5597,13.23,97,61,2.24,NZ,1718010875
27,maragogi,-9.0122,-35.2225,24.31,84,10,4.7,BR,1718010875
28,port mathurin,-19.6833,63.4167,24.41,81,23,9.27,MU,1718010875
29,iquitos,-3.7481,-73.2472,22.47,98,96,0.31,PE,1718010673
30,kapa'a,22.0752,-159.319,24.18,82,40,6.17,US,1718010875
31,nar'yan-mar,67.6713,53.087,5.06,60,97,3.13,RU,1718010875
32,hermanus,-34.4187,19.2345,17.11,55,0,3.35,ZA,1718010729
33,ta`u,-14.2336,-169.5144,26.83,72,100,12.13,AS,1718010875
34,holualoa,19.6228,-155.9522,24.91,88,100,3.6,US,1718010655
35,saipan,15.1355,145.701,29.39,79,40,6.69,MP,1718010875
36,puerto natales,-51.7236,-72.4875,1.24,99,100,0.96,CL,1718010875
37,kerikeri,-35.2268,173.9474,12.17,91,82,1.05,NZ,1718010875
38,constantia,44.1833,28.65,32.61,57,85,7.58,RO,1718010620
39,vilyuchinsk,52.9306,158.4028,17.15,76,99,3.36,RU,1718010875
40,lihue,21.9789,-159.3672,23.77,75,40,6.17,US,1718010875
41,uturoa,-16.7333,-151.4333,25.34,80,98,7.69,PF,1718010875
42,hawaiian paradise park,19.5933,-154.9731,22.73,87,100,0.0,US,1718010875
43,yulinshi,38.2906,109.7494,32.3,14,100,3.98,CN,1718010875
44,koulikoro,14.0,-7.75,34.0,34,69,5.75,ML,1718010875
45,stanley,54.868,-1.6985,10.98,77,40,6.69,GB,1718010876
46,ponta delgada,37.7333,-25.6667,19.4,68,75,2.57,PT,1718010876
47,kem',64.9555,34.5793,15.62,53,100,4.71,RU,1718010876
48,nadym,65.5333,72.5167,22.2,44,100,7.02,RU,1718010616
49,bichena,10.45,38.2,24.89,26,35,3.84,ET,1718010876
50,enewetak,11.3474,162.3373,28.12,83,97,7.19,MH,1718010876
51,lebu,-37.6167,-73.65,13.27,85,100,10.48,CL,1718010824
52,kalmunai,7.4167,81.8167,31.18,62,88,5.41,LK,1718010876
53,sarina,-21.4333,149.2167,18.12,1,0,1.57,AU,1718010876
54,sheregesh,52.9209,87.9869,24.98,48,79,3.18,RU,1718010852
55,klyuchi,52.2667,79.1667,32.37,33,51,1.98,RU,1718010876
56,blackmans bay,-43.0167,147.3167,6.96,83,100,2.52,AU,1718010876
57,ulsteinvik,62.3432,5.8487,13.2,85,99,3.13,NO,1718010876
58,olonkinbyen,70.9221,-8.7187,-1.42,94,98,7.18,SJ,1718010876
59,colonia,50.9333,6.95,16.09,68,20,2.57,DE,1718010876
60,vadso,70.0744,29.7487,8.49,81,100,10.29,NO,1718010876
61,longyearbyen,78.2186,15.6401,5.91,65,0,6.69,SJ,1718010876
62,natchez,31.5604,-91.4032,22.69,97,0,0.0,US,1718010877
63,olinda,-8.0089,-34.8553,26.85,74,40,6.69,BR,1718010877
64,moanda,-1.5575,13.2178,28.39,55,12,1.31,GA,1718010877
65,papatowai,-46.5619,169.4708,5.27,84,100,3.65,NZ,1718010877
66,qandala,11.472,49.8728,35.78,46,19,2.56,SO,1718010848
67,cold lake,54.4502,-110.2017,4.73,93,82,3.06,CA,1718010877
68,qaqortoq,60.7167,-46.0333,8.32,73,100,5.28,GL,1718010877
69,nemuro,43.3236,145.575,10.54,97,100,8.24,JP,1718010877
70,anadyr,64.75,177.4833,10.28,62,0,1.0,RU,1718010877
71,ar rudayyif,34.3827,8.1555,30.56,21,52,7.92,TN,1718010877
72,haiku-pauwela,20.9219,-156.3051,24.47,80,75,5.66,US,1718010721
73,reitz,-27.8014,28.4273,12.35,33,4,0.54,ZA,1718010732
74,talnakh,69.4865,88.3972,6.78,86,96,0.48,RU,1718010877
75,polyarnyy,69.1989,33.4478,12.21,67,84,4.02,RU,1718010790
76,saldanha,-33.0117,17.9442,20.35,42,0,6.95,ZA,1718010877
77,tazovsky,67.4667,78.7,13.15,47,11,6.3,RU,1718010877
78,laojunmiao,39.8333,97.7333,26.43,12,100,9.43,CN,1718010877
79,tikaitnagar,26.95,81.5833,47.16,7,6,6.59,IN,1718010877
80,al fallujah,33.3538,43.7795,41.94,7,0,4.21,IQ,1718010878
81,taree,-31.9,152.4667,12.26,82,65,2.02,AU,1718010878
82,urzhar,47.093,81.6294,32.17,34,32,1.08,KZ,1718010878
83,broome,42.2506,-75.833,12.0,89,75,3.09,US,1718010878
84,invercargill,-46.4,168.35,5.01,88,91,4.47,NZ,1718010878
85,belomorsk,64.5232,34.7668,17.66,38,89,4.73,RU,1718010878
86,de panne,51.0792,2.5917,14.03,87,75,9.26,BE,1718010878
87,west island,-12.1568,96.8225,27.99,83,75,6.69,CC,1718010878
88,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,75,75,5.81,RU,1718010878
89,iqaluit,63.7506,-68.5145,0.39,74,100,1.79,CA,1718010878
90,tiksi,71.6872,128.8694,2.21,85,42,3.87,RU,1718010878
91,aasiaat,68.7098,-52.8699,0.36,80,91,4.42,GL,1718010878
92,hasaki,35.7333,140.8333,22.38,78,100,3.15,JP,1718010878
93,wuchuan,21.4571,110.7659,29.53,78,54,5.23,CN,1718010878
94,northam,51.0333,-4.2167,13.7,72,67,8.11,GB,1718010878
95,yellowknife,62.456,-114.3525,13.01,76,96,1.12,CA,1718010878
96,suwayr,30.1171,40.3893,35.52,14,0,5.67,SA,1718010879
97,lompoc,34.6391,-120.4579,13.9,92,100,5.14,US,1718010879
98,horby,50.0468,32.4907,26.02,59,96,6.94,UA,1718010879
99,thompson,55.7435,-97.8558,5.56,67,1,1.83,CA,1718010879
100,taihecun,45.8,130.85,22.33,62,55,1.08,CN,1718010879
101,puerto ayora,-0.7393,-90.3518,21.97,96,100,2.69,EC,1718010879
102,st ives,50.2086,-5.4875,13.24,71,20,8.75,GB,1718010879
103,crescent city,41.756,-124.2018,12.63,94,100,2.06,US,1718010879
104,jamestown,42.097,-79.2353,12.77,100,75,2.06,US,1718010750
105,alpena,45.0617,-83.4327,10.62,93,0,3.09,US,1718010879
106,al qusayr,34.5091,36.5798,31.92,29,0,10.32,SY,1718010879
107,armacao de buzios,-22.7469,-41.8817,21.03,85,77,7.11,BR,1718010879
108,zeya,53.75,127.2667,20.27,46,100,3.45,RU,1718010879
109,yuzhno-kurilsk,44.0306,145.8556,11.32,93,100,4.05,RU,1718010879
110,villa gesell,-37.2639,-56.973,11.63,91,100,5.06,AR,1718010610
111,castellaneta,40.6272,16.9369,31.02,25,100,7.5,IT,1718010879
112,taitung city,22.7583,121.1444,31.15,79,40,4.12,TW,1718010880
113,port-cartier,50.0334,-66.8654,10.42,86,100,4.18,CA,1718010880
114,lata,40.1629,-8.3327,19.21,70,100,2.63,PT,1718010880
115,udachny,66.4167,112.4,21.36,32,61,5.02,RU,1718010880
116,parkes,-33.1333,148.1833,7.97,78,9,1.95,AU,1718010880
117,tynda,55.1667,124.7167,18.78,53,89,2.32,RU,1718010880
118,alice springs,-23.7,133.8833,18.75,34,0,2.57,AU,1718010880
119,aweil,8.7682,27.4002,32.69,44,100,2.58,SS,1718010880
120,vila franca do campo,37.7167,-25.4333,19.23,99,100,2.64,PT,1718010824
121,falesti,47.5736,27.7092,28.9,53,67,3.62,MD,1718010880
122,tindouf,27.6711,-8.1474,24.26,33,0,8.97,DZ,1718010880
123,tofol,5.3248,163.0078,29.17,75,16,7.3,FM,1718010880
124,saint-philippe,-21.3585,55.7679,26.77,80,45,6.07,RE,1718010880
125,medina,24.4686,39.6142,42.24,5,0,2.57,SA,1718010880
126,jijel,36.8205,5.7667,27.28,36,82,3.5,DZ,1718010880
127,tarawa,1.419,172.984,29.05,89,75,3.6,KI,1718010880
128,howrah,22.5892,88.3103,37.0,63,20,5.66,IN,1718010881
129,margaret river,-33.95,115.0667,16.42,54,100,10.21,AU,1718010881
130,kodiak,57.79,-152.4072,6.73,100,100,6.69,US,1718010881
131,valdepenas,38.7621,-3.3848,18.8,59,0,2.01,ES,1718010881
132,tsiombe,-25.3,45.4833,21.12,56,59,7.44,MG,1718010881
133,kayangel,8.0823,134.7173,29.18,73,56,2.57,PW,1718010881
134,happy valley-goose bay,53.3168,-60.3315,10.2,91,93,2.77,CA,1718010881
135,balkanabat,39.5108,54.3671,38.2,17,21,2.96,TM,1718010881
136,st. john's,47.5649,-52.7093,12.31,95,99,1.79,CA,1718010757
137,sestri levante,44.2732,9.3968,23.79,93,28,1.34,IT,1718010881
138,avarua,-21.2078,-159.775,22.03,64,40,4.12,CK,1718010881
139,port hedland,-20.3167,118.5667,26.03,38,0,5.66,AU,1718010881
140,the bottom,17.6259,-63.2492,26.31,81,34,7.55,BQ,1718010881
141,kirando,-7.4167,30.6,24.98,54,5,6.8,TZ,1718010881
142,mandalgovi,45.7625,106.2708,27.31,19,72,6.78,MN,1718010881
143,luderitz,-26.6481,15.1594,24.49,32,21,4.61,NA,1718010881
144,whitehorse,60.7161,-135.0538,11.56,39,69,1.79,CA,1718010881
145,sao vicente,-23.9631,-46.3919,18.32,26,87,3.43,BR,1718010607
146,bodaybo,57.8506,114.1933,20.82,50,28,3.32,RU,1718010706
147,fortuna,40.5982,-124.1573,12.19,96,100,2.06,US,1718010851
148,namibe,-15.1961,12.1522,24.55,64,2,2.26,AO,1718010882
149,faget,45.85,22.1833,22.4,83,99,2.03,RO,1718010882
150,scottburgh,-30.2867,30.7532,20.41,40,1,3.58,ZA,1718010882
151,port elizabeth,-33.918,25.5701,21.72,68,0,1.54,ZA,1718010732
152,wailua homesteads,22.0669,-159.378,23.44,82,40,6.17,US,1718010882
153,faya-largeau,17.9257,19.1043,38.07,18,3,2.44,TD,1718010882
154,klaksvik,62.2266,-6.589,5.51,78,100,11.97,FO,1718010882
155,fort bragg,35.139,-79.006,21.22,90,75,1.34,US,1718010592
156,jasper,37.2001,-94.3502,15.01,91,0,0.0,US,1718010882
157,lazaro cardenas,17.9583,-102.2,25.43,77,100,1.21,MX,1718010882
158,sinan,34.8262,126.1086,19.48,85,0,5.09,KR,1718010882
159,howard springs,-12.497,131.047,28.95,70,67,2.16,AU,1718010882
160,yakeshi,49.2833,120.7333,22.76,48,90,5.6,CN,1718010882
161,college,64.8569,-147.8028,21.99,42,75,3.6,US,1718010882
162,anori,-3.7728,-61.6442,23.77,96,100,0.89,BR,1718010882
163,mbandaka,0.0487,18.2603,27.77,63,93,1.17,CD,1718010882
164,east london,-33.0153,27.9116,20.44,39,2,1.03,ZA,1718010883
165,laohekou,32.3858,111.6678,34.83,29,86,2.71,CN,1718010883
166,gaspar hernandez,19.6289,-70.2811,25.03,92,100,2.43,DO,1718010883
167,ushuaia,-54.8,-68.3,-6.73,96,43,1.44,AR,1718010883
168,georgetown,5.4112,100.3354,32.96,62,20,3.6,MY,1718010843
169,hithadhoo,-0.6,73.0833,28.85,73,100,3.81,MV,1718010883
170,ribeira grande,38.5167,-28.7,20.43,73,20,6.17,PT,1718010883
171,tual,-5.6667,132.75,26.88,84,30,8.98,ID,1718010883
172,codrington,-38.2667,141.9667,14.47,63,100,7.54,AU,1718010883
173,verkhnevilyuysk,63.4453,120.3167,24.87,32,12,1.12,RU,1718010883
174,nuuk,64.1835,-51.7216,6.34,93,100,3.09,GL,1718010660
175,shatsk,54.0258,41.7119,20.92,54,67,2.27,RU,1718010883
176,saudarkrokur,65.7461,-19.6394,4.61,78,100,0.42,IS,1718010883
177,bangassou,4.7413,22.8184,26.97,65,100,1.76,CF,1718010883
178,sorong,-0.8833,131.25,27.84,77,100,1.8,ID,1718010883
179,palu,-0.8917,119.8707,28.08,93,83,0.85,ID,1718010884
180,touros,-5.1989,-35.4608,23.96,87,28,5.39,BR,1718010884
181,konstantinovka,49.6167,127.9833,19.59,61,99,6.33,RU,1718010884
182,pacific grove,36.6177,-121.9166,14.12,89,100,4.12,US,1718010884
183,ilulissat,69.2167,-51.1,1.01,80,75,4.12,GL,1718010884
184,glace bay,46.1969,-59.957,14.32,98,100,5.66,CA,1718010884
185,makrana,27.05,74.7167,42.94,11,13,4.08,IN,1718010884
186,mangrol,21.1167,70.1167,31.08,69,100,8.13,IN,1718010884
187,punta del este,-34.9667,-54.95,13.31,94,0,4.47,UY,1718010702
188,fairfield,41.2668,-73.3162,15.36,84,0,1.54,US,1718010884
189,moyale,3.5167,39.0584,23.95,55,36,6.73,KE,1718010884
190,newman,37.3138,-121.0208,18.13,72,0,2.68,US,1718010884
191,margate,51.3813,1.3862,12.39,85,100,4.92,GB,1718010827
192,gamba,-2.65,10.0,26.2,71,9,2.68,GA,1718010884
193,susuman,62.7833,148.1667,10.55,36,89,0.89,RU,1718010605
194,sur,22.5667,59.5289,35.56,40,0,4.89,OM,1718010885
195,ashburton,-37.8626,145.0794,12.57,68,100,1.79,AU,1718010885
196,mokhotlong,-29.2894,29.0675,10.19,25,5,0.74,LS,1718010885
197,rockport,28.0206,-97.0544,29.03,82,75,5.14,US,1718010885
198,nanzhang chengguanzhen,31.7839,111.8275,33.3,35,79,2.43,CN,1718010885
199,egilsstadir,65.2653,-14.3948,5.43,75,100,2.64,IS,1718010885
200,richfield,44.8833,-93.283,12.96,83,0,2.57,US,1718010705
201,kodinsk,58.6881,99.1844,20.24,51,99,2.2,RU,1718010885
202,san juan de uraba,8.7592,-76.5297,24.65,93,76,1.75,CO,1718010885
203,paola,39.3599,16.0396,32.61,59,9,3.63,IT,1718010885
204,coquimbo,-29.9533,-71.3436,12.85,86,75,1.54,CL,1718010885
205,minab,27.1467,57.0801,39.78,25,0,6.04,IR,1718010885
206,karyes,37.3,22.5,23.81,27,32,2.47,GR,1718010885
207,sitka,57.0531,-135.33,10.94,76,100,2.57,US,1718010885
208,westport,41.1415,-73.3579,16.16,81,0,1.54,US,1718010627
209,el granada,37.5027,-122.4694,14.48,91,100,5.14,US,1718010885
210,ploneour-lanvern,47.9,-4.2833,15.18,77,100,5.66,FR,1718010886
211,tura,25.5198,90.2201,32.76,64,33,2.96,IN,1718010886
212,mossel bay,-34.1831,22.146,22.96,52,0,2.39,ZA,1718010886
213,dalai,45.5,124.3,30.44,32,12,6.9,CN,1718010886
214,ivdel',60.6911,60.4206,21.77,60,48,2.68,RU,1718010886
